conf, # of clusters, key, 0, 1000, 2000, 4000, 8000, 16000, 32000, 64000
5, 4, total, 3529.02, 3441.98, 3569.65, 3575.86, 3556.94, 3658.97, 3224.56, 3545.72
5, 4, counter value, 175.72, 175.87, 176.91, 181.4, 177.07, 186.93, 153.81, 178.78
5, 4, others 1, 247.33, 252.65, 244.4, 246.95, 250.88, 266.33, 208.92, 242.19
5, 4, others 2, 144.86, 147.89, 147.41, 154.55, 145.24, 150.92, 128.04, 158.28
5, 4, others 3, 472.92, 378.97, 526.41, 471.61, 502.81, 408.52, 553.27, 491.4
5, 4, aes 1, 260.48, 259.46, 254.74, 256.07, 256.61, 287.54, 229.26, 251.15
5, 4, aes 2, 217.88, 218.39, 218.74, 217.54, 217.2, 236.85, 196.82, 216.45
5, 4, xor 1, 295.88, 296.8, 294.35, 295.04, 295.51, 320.51, 257.54, 296.9
5, 4, xor 2, 300.8, 301.98, 299.68, 298.95, 300.26, 314.39, 263.01, 299.24
5, 4, xor 3, 256.53, 252.27, 255.35, 254.72, 256.61, 269.63, 223.67, 256.08
5, 4, xor 4, 255.31, 254.92, 251.67, 255.01, 256.24, 269.74, 223.45, 255.88
5, 6, total, 3012.9, 3532.9, 4092.11, 4105.27, 3736.44, 3436.43, 4320.19, 3558.15
5, 6, counter value, 158.05, 176.31, 205.4, 205.86, 184.23, 193.53, 204.16, 179.66
5, 6, others 1, 219.09, 241.42, 281.04, 288.8, 266.85, 238.04, 259.55, 245.39
5, 6, others 2, 127.46, 145.67, 168.7, 169.43, 150.06, 145.6, 157.62, 145.69
5, 6, others 3, 328.83, 486.55, 548.54, 549.53, 590.75, 374.93, 521.82, 492.85
5, 6, aes 1, 227.99, 252.51, 291.44, 293.05, 289.93, 253.25, 271.51, 260.31
5, 6, aes 2, 191.28, 215.53, 252.61, 255.52, 217.97, 218.23, 234.3, 215.77
5, 6, xor 1, 261.16, 299.83, 349.06, 349.38, 302.03, 299.68, 321.51, 299.9
