# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
1k, 9, 6, 1, true, 10, 348.5, 34.24, 10, 707.8, 243.52
1k, 9, 6, 1, false, 10, 443.8, 46.36, 10, 511.5, 216.95
1k, 10, 1, 0, true, 10, 383.4, 22.68, 10, 674.3, 241.73
1k, 10, 1, 0, false, 10, 486.7, 36.81, 10, 768.6, 270.07
1k, 10, 1, 1, true, 10, 328.5, 46.35, 10, 548.4, 188.03
1k, 10, 1, 1, false, 10, 440.3, 50.9, 10, 599.5, 234.24
2k, 1, 1, 0, true, 10, 2153.7, 147.58, 10, 8810.0, 390.51
2k, 1, 1, 0, false, 10, 2096.3, 81.56, 10, 2652.8, 328.27
2k, 1, 1, 1, true, 10, 1620.3, 51.83, 10, 8198.5, 303.53
2k, 1, 1, 1, false, 10, 1593.3, 48.9, 10, 2438.1, 182.13
2k, 2, 2, 0, true, 10, 1721.5, 40.4, 10, 1071.0, 95.29
2k, 2, 2, 0, false, 10, 2175.3, 66.63, 10, 3319.7, 188.64
2k, 2, 2, 1, true, 10, 1276.9, 79.32, 10, 1039.2, 86.07
2k, 2, 2, 1, false, 10, 1685.4, 141.65, 10, 3301.3, 247.5
2k, 2, 4, 0, true, 10, 1755.7, 55.61, 10, 1801.0, 77.88
2k, 2, 4, 0, false, 10, 2232.2, 93.17, 10, 3324.2, 132.33
2k, 2, 4, 1, true, 10, 1242.8, 36.29, 10, 1734.8, 86.24
2k, 2, 4, 1, false, 10, 1703.8, 73.81, 10, 3301.8, 150.61
2k, 2, 6, 0, true, 10, 1721.9, 73.15, 10, 524.6, 48.21
2k, 2, 6, 0, false, 10, 2196.6, 128.36, 10, 2835.4, 107.77
2k, 2, 6, 1, true, 10, 1243.6, 44.24, 10, 515.0, 39.65
2k, 2, 6, 1, false, 10, 1710.3, 127.56, 10, 3070.8, 217.05
2k, 3, 1, 0, true, 10, 1653.3, 77.24, 10, 466.1, 33.28
2k, 3, 1, 0, false, 10, 2126.6, 127.65, 10, 2982.7, 124.86
2k, 3, 1, 1, true, 10, 1186.5, 42.63, 10, 404.1, 31.52
