# of tokens, conf, # of clusters, aes_ni, detected, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
1k, 1, 1, 0, true, 1, 2314.0, 0.0, 1, 7482.0, 0.0
1k, 1, 1, 0, false, 1, 2335.0, 0.0, 1, 2660.0, 0.0
1k, 1, 1, 1, true, 1, 1812.0, 0.0, 1, 7542.0, 0.0
1k, 1, 1, 1, false, 1, 1834.0, 0.0, 1, 2510.0, 0.0
1k, 2, 2, 0, true, 1, 1828.0, 0.0, 1, 1018.0, 0.0
1k, 2, 2, 0, false, 1, 1923.0, 0.0, 1, 2850.0, 0.0
1k, 2, 2, 1, true, 1, 1225.0, 0.0, 1, 1095.0, 0.0
1k, 2, 2, 1, false, 1, 1732.0, 0.0, 1, 2803.0, 0.0
1k, 2, 4, 0, true, 1, 1948.0, 0.0, 1, 1735.0, 0.0
1k, 2, 4, 0, false, 1, 2433.0, 0.0, 1, 2644.0, 0.0
1k, 2, 4, 1, true, 1, 1370.0, 0.0, 1, 1605.0, 0.0
1k, 2, 4, 1, false, 1, 1782.0, 0.0, 1, 2349.0, 0.0
1k, 2, 6, 0, true, 1, 1887.0, 0.0, 1, 538.0, 0.0
1k, 2, 6, 0, false, 1, 2473.0, 0.0, 1, 2537.0, 0.0
1k, 2, 6, 1, true, 1, 1399.0, 0.0, 1, 700.0, 0.0
1k, 2, 6, 1, false, 1, 1723.0, 0.0, 1, 2498.0, 0.0
1k, 3, 1, 0, true, 1, 1787.0, 0.0, 1, 501.0, 0.0
1k, 3, 1, 0, false, 1, 2271.0, 0.0, 1, 2463.0, 0.0
1k, 3, 1, 1, true, 1, 1167.0, 0.0, 1, 478.0, 0.0
1k, 3, 1, 1, false, 1, 1475.0, 0.0, 1, 2371.0, 0.0
1k, 4, 1, 0, true, 1, 2245.0, 0.0, 1, 9391.0, 0.0
1k, 4, 1, 0, false, 1, 3047.0, 0.0, 1, 1867.0, 0.0
1k, 4, 1, 1, true, 1, 1919.0, 0.0, 1, 8617.0, 0.0
1k, 4, 1, 1, false, 1, 2241.0, 0.0, 1, 1796.0, 0.0
1k, 5, 2, 0, true, 1, 2357.0, 0.0, 1, 2020.0, 0.0
1k, 5, 2, 0, false, 1, 3434.0, 0.0, 1, 2825.0, 0.0
1k, 5, 2, 1, true, 1, 1427.0, 0.0, 1, 1354.0, 0.0
1k, 5, 2, 1, false, 1, 1726.0, 0.0, 1, 2075.0, 0.0
1k, 5, 4, 0, true, 1, 1838.0, 0.0, 1, 2208.0, 0.0
1k, 5, 4, 0, false, 1, 2297.0, 0.0, 1, 2746.0, 0.0
1k, 5, 4, 1, true, 1, 1428.0, 0.0, 1, 2146.0, 0.0
1k, 5, 4, 1, false, 1, 1918.0, 0.0, 1, 3002.0, 0.0
1k, 5, 6, 0, true, 1, 1634.0, 0.0, 1, 1477.0, 0.0
1k, 5, 6, 0, false, 1, 1956.0, 0.0, 1, 2119.0, 0.0
1k, 5, 6, 1, true, 1, 1334.0, 0.0, 1, 1788.0, 0.0
1k, 5, 6, 1, false, 1, 1497.0, 0.0, 1, 2027.0, 0.0
1k, 6, 1, 0, true, 1, 1610.0, 0.0, 1, 552.0, 0.0
1k, 6, 1, 0, false, 1, 1701.0, 0.0, 1, 1907.0, 0.0
1k, 6, 1, 1, true, 1, 1249.0, 0.0, 1, 566.0, 0.0
1k, 6, 1, 1, false, 1, 1596.0, 0.0, 1, 2054.0, 0.0
1k, 7, 2, 0, true, 1, 412.0, 0.0, 1, 682.0, 0.0
1k, 7, 2, 0, false, 1, 423.0, 0.0, 1, 1015.0, 0.0
1k, 7, 2, 1, true, 1, 288.0, 0.0, 1, 312.0, 0.0
1k, 7, 2, 1, false, 1, 322.0, 0.0, 1, 974.0, 0.0
1k, 7, 4, 0, true, 1, 445.0, 0.0, 1, 1124.0, 0.0
1k, 7, 4, 0, false, 1, 525.0, 0.0, 1, 1171.0, 0.0
1k, 7, 4, 1, true, 1, 319.0, 0.0, 1, 1324.0, 0.0
1k, 7, 4, 1, false, 1, 388.0, 0.0, 1, 1136.0, 0.0
1k, 7, 6, 0, true, 1, 437.0, 0.0, 1, 714.0, 0.0
1k, 7, 6, 0, false, 1, 478.0, 0.0, 1, 1243.0, 0.0
1k, 7, 6, 1, true, 1, 325.0, 0.0, 1, 573.0, 0.0
1k, 7, 6, 1, false, 1, 390.0, 0.0, 1, 716.0, 0.0
1k, 8, 1, 0, true, 1, 369.0, 0.0, 1, 707.0, 0.0
1k, 8, 1, 0, false, 1, 476.0, 0.0, 1, 576.0, 0.0
1k, 8, 1, 1, true, 1, 274.0, 0.0, 1, 427.0, 0.0
1k, 8, 1, 1, false, 1, 310.0, 0.0, 1, 270.0, 0.0
1k, 9, 2, 0, true, 1, 436.0, 0.0, 1, 1105.0, 0.0
1k, 9, 2, 0, false, 1, 476.0, 0.0, 1, 809.0, 0.0
1k, 9, 2, 1, true, 1, 344.0, 0.0, 1, 509.0, 0.0
1k, 9, 2, 1, false, 1, 428.0, 0.0, 1, 414.0, 0.0
1k, 9, 4, 0, true, 1, 447.0, 0.0, 1, 1268.0, 0.0
1k, 9, 4, 0, false, 1, 433.0, 0.0, 1, 1218.0, 0.0
1k, 9, 4, 1, true, 1, 460.0, 0.0, 1, 564.0, 0.0
1k, 9, 4, 1, false, 1, 521.0, 0.0, 1, 485.0, 0.0
1k, 9, 6, 0, true, 1, 488.0, 0.0, 1, 1094.0, 0.0
1k, 9, 6, 0, false, 1, 518.0, 0.0, 1, 950.0, 0.0
1k, 9, 6, 1, true, 1, 336.0, 0.0, 1, 556.0, 0.0
1k, 9, 6, 1, false, 1, 412.0, 0.0, 1, 329.0, 0.0
1k, 10, 1, 0, true, 1, 472.0, 0.0, 1, 766.0, 0.0
1k, 10, 1, 0, false, 1, 482.0, 0.0, 1, 845.0, 0.0
1k, 10, 1, 1, true, 1, 307.0, 0.0, 1, 501.0, 0.0
1k, 10, 1, 1, false, 1, 443.0, 0.0, 1, 369.0, 0.0
2k, 1, 1, 0, true, 1, 2246.0, 0.0, 1, 9384.0, 0.0
2k, 1, 1, 0, false, 1, 2175.0, 0.0, 1, 2624.0, 0.0
2k, 1, 1, 1, true, 1, 2677.0, 0.0, 1, 12379.0, 0.0
2k, 1, 1, 1, false, 1, 2427.0, 0.0, 1, 3468.0, 0.0
2k, 2, 2, 0, true, 1, 1708.0, 0.0, 1, 1009.0, 0.0
2k, 2, 2, 0, false, 1, 2349.0, 0.0, 1, 3125.0, 0.0
2k, 2, 2, 1, true, 1, 1263.0, 0.0, 1, 1203.0, 0.0
2k, 2, 2, 1, false, 1, 1673.0, 0.0, 1, 3000.0, 0.0
2k, 2, 4, 0, true, 1, 2034.0, 0.0, 1, 1658.0, 0.0
2k, 2, 4, 0, false, 1, 2294.0, 0.0, 1, 3952.0, 0.0
2k, 2, 4, 1, true, 1, 1370.0, 0.0, 1, 1881.0, 0.0
2k, 2, 4, 1, false, 1, 1832.0, 0.0, 1, 3430.0, 0.0
2k, 2, 6, 0, true, 1, 1879.0, 0.0, 1, 501.0, 0.0
2k, 2, 6, 0, false, 1, 2229.0, 0.0, 1, 2708.0, 0.0
2k, 2, 6, 1, true, 1, 1250.0, 0.0, 1, 416.0, 0.0
2k, 2, 6, 1, false, 1, 1606.0, 0.0, 1, 2650.0, 0.0
2k, 3, 1, 0, true, 1, 1869.0, 0.0, 1, 470.0, 0.0
2k, 3, 1, 0, false, 1, 2261.0, 0.0, 1, 3149.0, 0.0
2k, 3, 1, 1, true, 1, 1233.0, 0.0, 1, 467.0, 0.0
2k, 3, 1, 1, false, 1, 1521.0, 0.0, 1, 3237.0, 0.0
2k, 4, 1, 0, true, 1, 2372.0, 0.0, 1, 11288.0, 0.0
2k, 4, 1, 0, false, 1, 2341.0, 0.0, 1, 2556.0, 0.0
2k, 4, 1, 1, true, 1, 1708.0, 0.0, 1, 10180.0, 0.0
2k, 4, 1, 1, false, 1, 1828.0, 0.0, 1, 2638.0, 0.0
2k, 5, 2, 0, true, 1, 1854.0, 0.0, 1, 1052.0, 0.0
2k, 5, 2, 0, false, 1, 2129.0, 0.0, 1, 3339.0, 0.0
2k, 5, 2, 1, true, 1, 1506.0, 0.0, 1, 1274.0, 0.0
2k, 5, 2, 1, false, 1, 1885.0, 0.0, 1, 2494.0, 0.0
2k, 5, 4, 0, true, 1, 1738.0, 0.0, 1, 2491.0, 0.0
2k, 5, 4, 0, false, 1, 2337.0, 0.0, 1, 7432.0, 0.0
2k, 5, 4, 1, true, 1, 1819.0, 0.0, 1, 2071.0, 0.0
2k, 5, 4, 1, false, 1, 1928.0, 0.0, 1, 3713.0, 0.0
2k, 5, 6, 0, true, 1, 1948.0, 0.0, 1, 2036.0, 0.0
2k, 5, 6, 0, false, 1, 1900.0, 0.0, 1, 2009.0, 0.0
2k, 5, 6, 1, true, 1, 1323.0, 0.0, 1, 1806.0, 0.0
2k, 5, 6, 1, false, 1, 1692.0, 0.0, 1, 1861.0, 0.0
2k, 6, 1, 0, true, 1, 1872.0, 0.0, 1, 1070.0, 0.0
2k, 6, 1, 0, false, 1, 2010.0, 0.0, 1, 2894.0, 0.0
2k, 6, 1, 1, true, 1, 1550.0, 0.0, 1, 796.0, 0.0
2k, 6, 1, 1, false, 1, 1614.0, 0.0, 1, 2606.0, 0.0
2k, 7, 2, 0, true, 1, 370.0, 0.0, 1, 962.0, 0.0
2k, 7, 2, 0, false, 1, 456.0, 0.0, 1, 1296.0, 0.0
2k, 7, 2, 1, true, 1, 298.0, 0.0, 1, 664.0, 0.0
2k, 7, 2, 1, false, 1, 356.0, 0.0, 1, 677.0, 0.0
2k, 7, 4, 0, true, 1, 451.0, 0.0, 1, 1420.0, 0.0
2k, 7, 4, 0, false, 1, 502.0, 0.0, 1, 1571.0, 0.0
2k, 7, 4, 1, true, 1, 337.0, 0.0, 1, 477.0, 0.0
2k, 7, 4, 1, false, 1, 362.0, 0.0, 1, 536.0, 0.0
2k, 7, 6, 0, true, 1, 442.0, 0.0, 1, 1293.0, 0.0
2k, 7, 6, 0, false, 1, 540.0, 0.0, 1, 1393.0, 0.0
2k, 7, 6, 1, true, 1, 340.0, 0.0, 1, 1196.0, 0.0
2k, 7, 6, 1, false, 1, 392.0, 0.0, 1, 1218.0, 0.0
2k, 8, 1, 0, true, 1, 360.0, 0.0, 1, 1172.0, 0.0
