conf, 1, 200, 400, 600, 800, 1000, 1200, 1400, 1600
3, 10051059.71, 50111.43, 26421.67, 18791.29, 14652.93, 12673.34, 10412.02, 8204.75, 8717.42
6, 9377757.22, 52139.13, 24771.27, 17465.28, 14504.89, 12333.68, 9852.79, 8021.72, 8271.82

conf, 1, 200, 400, 600, 800, 1000, 1200, 1400, 1600
3, 10107246.24, 47074.98, 24871.84, 16005.84, 12284.69, 10303.87, 8380.6, 8526.27, 6487.3
6, 9395632.58, 42538.01, 22192.45, 14643.9, 10928.63, 9682.25, 7757.55, 7866.37, 5897.47
