rules, conf, aes_ni, token encryption (trials), token encryption (mean), token encryption (stdev), token detection (trials), token detection (mean), token detection (stdev)
10000, 2, 0, 100, 711.07, 158.15, 100, 11493584.35, 541100.35
10000, 2, 1, 100, 578.5, 164.62, 100, 10766777.52, 548699.58
10000, 3, 0, 100, 1116.88, 112.94, 100, 1804.0, 1428.9
10000, 3, 1, 100, 1089.56, 143.08, 100, 1784.17, 1412.02
10000, 4, 0, 100, 747.46, 105.5, 100, 11003131.06, 330369.86
10000, 4, 1, 100, 685.01, 101.92, 100, 10727834.89, 351323.81
11000, 1, 0, 100, 1239.77, 145.41, 100, 2040.34, 1633.4
11000, 1, 1, 100, 1111.44, 147.1, 100, 2011.66, 1609.24
11000, 2, 0, 100, 709.37, 165.02, 100, 12732345.86, 648375.2
11000, 2, 1, 100, 591.29, 155.07, 100, 11904380.76, 634851.94
11000, 3, 0, 100, 1245.36, 166.84, 100, 1863.24, 1510.61
11000, 3, 1, 100, 1176.72, 167.12, 100, 1854.63, 1502.43
11000, 4, 0, 100, 772.66, 107.13, 100, 12276586.02, 350084.56
11000, 4, 1, 100, 695.54, 95.23, 100, 11999898.61, 348089.83
12000, 1, 0, 100, 1610.98, 262.32, 100, 2159.84, 1727.85
12000, 1, 1, 100, 1414.33, 207.39, 100, 2123.71, 1693.0
12000, 2, 0, 100, 721.42, 150.25, 100, 14004223.77, 718731.89
12000, 2, 1, 100, 599.29, 164.04, 100, 13119104.4, 707016.67
12000, 3, 0, 100, 1531.85, 261.81, 100, 1941.77, 1580.8
12000, 3, 1, 100, 1485.5, 253.07, 100, 1919.46, 1554.2
12000, 4, 0, 100, 766.89, 107.37, 100, 13389974.75, 384365.76
12000, 4, 1, 100, 693.71, 108.0, 100, 13081797.36, 404960.51
13000, 1, 0, 100, 1768.51, 329.4, 100, 2107.19, 1682.71
13000, 1, 1, 100, 1699.84, 337.29, 100, 2078.46, 1655.1
13000, 2, 0, 100, 715.95, 159.09, 100, 15294420.37, 809242.66
13000, 2, 1, 100, 608.46, 158.44, 100, 14439907.22, 858168.97
13000, 3, 0, 100, 1745.45, 374.46, 100, 1939.58, 1556.05
13000, 3, 1, 100, 1704.24, 375.05, 100, 1933.84, 1548.05
13000, 4, 0, 100, 766.13, 111.48, 100, 14857820.76, 411969.46
13000, 4, 1, 100, 699.92, 102.81, 100, 14429469.29, 389574.01
14000, 1, 0, 100, 2065.46, 394.07, 100, 2184.5, 1746.3
14000, 1, 1, 100, 1989.76, 416.84, 100, 2115.87, 1684.93
14000, 2, 0, 100, 749.43, 166.67, 100, 16720805.3, 951434.85
14000, 2, 1, 100, 625.3, 146.73, 100, 15700299.96, 957979.99
14000, 3, 0, 100, 2124.56, 391.59, 100, 1987.97, 1606.39
14000, 3, 1, 100, 1981.41, 441.16, 100, 1969.47, 1597.03
14000, 4, 0, 100, 784.86, 104.07, 100, 16137653.83, 368634.65
14000, 4, 1, 100, 729.94, 100.86, 100, 15749770.37, 383026.48
15000, 1, 0, 100, 2406.17, 489.38, 100, 2203.55, 1770.16
15000, 1, 1, 100, 2214.73, 507.8, 100, 2155.39, 1719.2
15000, 2, 0, 100, 757.45, 169.05, 100, 18082105.28, 1093667.82
15000, 2, 1, 100, 662.71, 181.31, 100, 17001544.59, 1094383.65
15000, 3, 0, 100, 2313.04, 514.37, 100, 2061.56, 1669.86
15000, 3, 1, 100, 2189.47, 482.62, 100, 2026.88, 1646.17
15000, 4, 0, 100, 844.04, 141.21, 100, 17377724.39, 501100.34
15000, 4, 1, 100, 760.12, 110.41, 100, 16974784.86, 518169.84
16000, 1, 0, 100, 2634.25, 633.9, 100, 2207.65, 1756.24
16000, 1, 1, 100, 2612.72, 672.11, 100, 2147.44, 1703.79
16000, 2, 0, 100, 782.83, 153.61, 100, 19490191.1, 1155219.86
16000, 2, 1, 100, 646.53, 159.36, 100, 18474403.53, 1228950.54
16000, 3, 0, 100, 2601.37, 703.09, 100, 2088.99, 1624.91
16000, 3, 1, 100, 2581.7, 693.3, 100, 2080.01, 1602.79
16000, 4, 0, 100, 811.58, 102.57, 100, 18890702.51, 518329.05
16000, 4, 1, 100, 758.24, 122.25, 100, 18426654.72, 524832.22
